word,synonyms
pizza,"['flatbaka', 'pítsa', 'pitsa sjaldan']"
gröf,['moldarþró']
grafskrift,['grafletur']
grafletur,['grafskrift']
svartidauði,['brennivín']
R.,"['Rv', 'Rvk', 'Rvík']"
húm,"['ljósaskipti', 'rökkur']"
rökkur,"['húm', 'ljósaskipti']"
tómati,['tómatur']
sebrahestur,['sebradýr']
rauðviður,['kaliforníurauðviður']
kaliforníurauðviður,['rauðviður']
risi,['jötunn']
skyndiminni,['flýtiminni']
skyndilega,"['snögglega', 'allt í einu']"
heilabrú,['brú']
sála,['sál']
blysbjalla,"['eldfluga', 'glætuormur', 'ljósbjalla', 'ljósormur']"
kímplanta,"['fræplanta', 'ungplanta']"
ungplanta,"['fræplanta', 'kímplanta']"
fræplanta,"['kímplanta', 'ungplanta']"
svefnfriður,"['næturró', 'svefnró']"
gráhvalur,['sandlægja']
viti,['fyrirboði']
víti,['helvíti']
helvíti,['víti']
öndunarkerfi,['öndunarfæri']
öndunarfæri,['öndunarkerfi']
tröll,['tröllkarl']
jötunn,['risi']
sólargeisli,['gleðigjafi']
borgari,['kaupmaður']
lungnakrabbamein,['lungnakrabbi']
lungnakrabbi,['lungnakrabbamein']
hreisturvængja,['fiðrildi']
svarmfiðrildi,['svarmi']
náttfiðrildi,"['lágvængja', 'mölfluga', 'mölur']"
nátt,['nótt']
taugahvot,['taugapína']
lofttóm,"['lofttæmi', 'tómarúm']"
skynsemi,['skynsemd']
smám saman,"['hægt og hægt', 'smámsaman', 'smátt og smátt']"
smámsaman,"['smám saman', 'smátt og smátt']"
leyndarmál,['launungarmál']
hvatskeytlegur,"['hvatskeytislegur', 'hvatskeytslegur']"
hvatskeytislegur,"['hvatskeytlegur', 'hvatskeytslegur']"
hvatskeytslegur,"['hvatskeytislegur', 'hvatskeytlegur']"
sic,['svo sjaldan']
hvítabjörn,['ísbjörn']
panna,['botnskál']
goð,['guð']
sjöstirni,['sjöstjarna']
sárasótt,"['sýfílis', 'sífill']"
asma,['kafmæði']
barnamosi,['svarðmosi']
kærar þakkir,['kæra þökk']
fræðiheiti,"['fagheiti', 'vísindaheiti']"
kýli,"['graftarkýli', 'blóðkýli']"
Norður-Ameríka,"['Vesturálfa', 'Vesturheimur']"
élhöll,['himinn']
ljóshraði,['ljósferð']
flétta,['fléttingur']
eldstöð,['eldfjall']
mölfiðrildi,['gestafiðrildi']
kveði,"['roðarunnaepli', 'japanspera', 'roðarunnaaldin']"
miðnætursól,['náttsól fornt']
sendiför,['sendiferð']
spítali,"['sjúkrahús', 'spítall fornt']"
veggmynd,['veggmálverk']
veggmálverk,['veggmynd']
samhljómur,['samhljóðan']
bjargbelti,"['björgunarbelti', 'björgunarhringur']"
björgunarhringur,"['bjargbelti', 'björgunarbelti']"
björgunarbelti,"['bjargbelti', 'björgunarhringur']"
tangerína,['mandarína']
mandarína,['tangerína']
hleypidómur,['fordómur']
fordómur,['hleypidómur']
tölvupóstur,['rafpóstur']
rafpóstur,['tölvupóstur']
leirutjörn,['leiruvatn']
leiruvatn,['leirutjörn']
brauð,"['hleifur kk', 'brauðhleifur kk']"
hlébarði,['pardusdýr']
pardusdýr,['hlébarði']
blóðgjöf,['blóðinngjöf']
rigning,['regn']
súld,"['fylja', 'hraunasubbi', 'hraunsubb', 'léttingsúði', 'myrja', 'regnhjúfur', 'regnsalli', 'regnsubba', 'regnýra', 'regnýringur', 'sallarigning', 'skúraslæða', 'sori', 'suddarigning', 'suddi', 'súldra', 'syrja', 'úðahjúfringur', 'úðaregn', 'úðarigning', 'úði', 'úr', 'úrvæta', 'ysja', 'ysjurigning', 'ýra', 'ýringur ']"
sólstjarna,"['fastastjarna', 'stjarna']"
ei,['fornt ey']
þarmur,['görn']
görn,['þarmur']
mjógörn,['smáþarmur']
smáþarmur,['mjógörn']
vaða,"['ganga', 'torfa']"
fornnorræna,['norræna']
norræna,['fornnorræna']
blóðleysi,['blóðskortur']
blaðsellerí,"['blaðsilla', 'stilkselja', 'stilksellerí']"
Skandinavía,['Norðurlönd']
apaköttur,['hermikráka']
agúrka,['gúrka']
magabólga,['magakvef']
einneginn,"['fornt einniginn', 'einnug', 'einnveg']"
einninn,"['fornt einniginn', 'einnug', 'einnveg']"
friðarbogi,['regnbogi']
andrúmsloft jarðar,['gufuhvolf']
andrúmsloft,['lofthjúpur']
himingeimur,['geimur']
gönguferð,"['gönguför', 'göngutúr']"
dagdreymi,['dagdraumur']
dagdraumur,['dagdreymi']
loftkastali,['skýjaborg']
kastali,['borg']
fífill,['túnfífill']
blómi,['blóm']
netjuský,"['netjuþykkni', 'maríutása']"
regnþykkni,['regnský']
regnský,['regnþykkni']
hvítingi,"['albíni', 'albínói']"
náhveli,['náhvalur']
þokki,['yndisþokki']
kílógramm,['kíló']
leiðarljós,['ljósviti']
norðurstjarna,"['Norðurstjarnan', 'Pólstjarnan', 'pólstjarna']"
jónhvolf,['rafhvolf']
lofthjúpur,['andrúmsloft']
hjartaslag,['hjartaáfall']
kílómetri,['kílómeter']
svörun,['viðbrögð']
faraldur,['farsótt']
heimsfaraldur,"['útbreidd sótt', 'heimsfarsótt']"
útbreidd sótt,"['heimsfaraldur', 'heimsfarsótt']"
farsótt,['faraldur']
heimsfarsótt,"['heimsfaraldur', 'útbreidd sótt']"
blíður,['mildur']
óblíður,"['harður', 'hranalegur']"
snjókoma,"['fannkoma', 'ofankoma']"
ofankoma,"['fannkoma', 'snjókoma']"
fannkoma,['snjókoma']
gleymmérei,['gleymmérei']
æ,"['alltaf', 'fornt ei']"
sí og æ,['fornt ey og ey']
gleymni,['gleymska']
síðdegis,['eftir hádegi']
árdegis,['fyrir hádegi']
miðdegi,['hádegi']
hnúkur,"['gnípa nípa', 'hnjúkur', 'fjallstindur']"
hnjúkur,"['hnúkur', 'fjallstindur']"
svefnró,"['næturró', 'svefnfriður']"
næturró,"['svefnfriður', 'svefnró']"
sjávarloft,['sjóloft']
sjóloft,['sjávarloft']
náttúrlega,"['auðvitað', 'vitaskuld']"
galdramaður,['seiðmaður']
galdur,['seiður']
galdranorn,['norn']
galdrastafur,"['stafur', 'töfrasproti']"
votlendi,['mýrlendi']
mýrlendi,['votlendi']
nefkvef,['nefslímubólga']
norðanvindur,['norðanátt']
norðanátt,['norðanvindur']
sunnanátt,['sunnanvindur']
til hamingju með afmælið,['til hamingju með daginn']
til hamingju með daginn,['til hamingju með afmælið']
afturelding,"['dögun', 'dagrenning', 'morgunsár', 'fornt elding']"
dagrenning,"['afturelding', 'dögun', 'morgunsár']"
morgunsár,"['afturelding', 'dagrenning', 'dögun']"
atómkjarni,"['frumeindarkjarni', 'kjarni']"
frumeindarkjarni,"['atómkjarni', 'kjarni']"
nellika,['drottningarblóm']
sjósótt,['sjóveiki']
sjóveiki,['sjósótt']
veiki,['veikleiki']
smátt og smátt,"['smámsaman', 'smám saman']"
handarkoss,['handkoss']
handkoss,['handarkoss']
kærulaus,"['hirðulaus', 'kærulítill']"
jarðhræring,"['jarðskjálfti', 'landskjálfti']"
brosandi,"['broshýr', 'brosleitur']"
töfrasproti,['galdrastafur']
því að,['af því að']
faðmlag,['knús']
snilld,"['snilldargáfa', 'snilli', 'snilligáfa']"
hægt og hægt,"['smámsaman', 'smám saman', 'smátt og smátt']"
kórallur,"['kóral', 'kórall']"
vélmenni,"['róbóti', 'róbót', 'róbot', 'þjarki']"
þei,['þey']
ábyrgðarlaus,['óábyrgur']
ábyrgðarmikill,"['ábyrgur', 'áreiðanlegur']"
þótt,"['þó að', 'enda þótt']"
örvænting,"['hugarvíl', 'örvilnun', 'örvinglun']"
örvilnun,"['örvænting', 'örvinglun']"
örvinglun,"['örvænting', 'örvilnun']"
enda þótt,"['þó að', 'þótt']"
barnungur,['skáldamál jóðungur']
jóðungur,['barnungur']
kornungur,"['barnungur', 'hráungur']"
hráungur,"['barnungur', 'kornungur']"
stríð,"['ófriður', 'styrjöld']"
styrjöld,"['ófriður', 'stríð']"
enn þá,['ennþá']
öfund,['öfundsýki']
bý,['býfluga']
askorbínsýra,['Cvítamín']
auk heldur,['fornt þess heldur']
aukin heldur,"['aukinheldur', 'auk þess heldur']"
dögg,"['döggfall', 'náttfall']"
auk þess heldur,"['aukinheldur', 'aukin heldur']"
auk þess,"['þar að auki þar að auk', 'að auki að auk']"
eldfluga,"['blysbjalla', 'glætuormur', 'ljósbjalla', 'ljósormur']"
ljósormur,"['eldfluga', 'blysbjalla', 'glætuormur', 'ljósbjalla']"
glætuormur,"['eldfluga', 'blysbjalla', 'ljósbjalla', 'ljósormur']"
óþolinmæði,['óþreyja']
þrekstjarna,['Mars']
ungdómur,['ungdæmi']
ungdæmi,['ungdómur']
kóngsdóttir,"['prinsessa', 'konungsdóttir']"
konungsdóttir,"['prinsessa', 'kóngsdóttir']"
norðurheimskaut,"['norðurskaut', 'norðurpóll']"
norðurpóll,['norðurheimskaut']
suðurpóll,['suðurheimskaut']
suðurheimskaut,"['suðurskaut', 'suðurpóll']"
Suðurheimskaut,['Suðurskautsland']
skrautkambur,"['hanakambur', 'silfurkambur']"
hanakambur,"['silfurkambur', 'skrautkambur']"
stöðugt,['sí og æ']
arabískur,['arabskur']
miðjarðarlína,['miðbaugur']
miðbaugur,['miðjarðarlína']
kemst þó hægt fari,['kemst þótt hægt fari']
í myrkri eru allir kettir gráir,['allir kettir eru gráir í myrkri']
allir kettir eru gráir í myrkri,['í myrkri eru allir kettir gráir']
ljósleysi,['myrkur']
harmur,['sorg']
verndarengill,['varðengill']
tófa,['karldýr refur']
stjarnfræðieining,['stjörnufræðieining']
stjörnufræðieining,['stjarnfræðieining']
broddfura,['broddafura']
broddafura,['broddfura']
aflangur,['ílangur']
ílangur,['aflangur']
sjampó,"['hársápa', 'hárþvottalögur']"
sturta,['steypibað']
draugasól,['tungl']
harðdiskur,['harður diskur']
alfræðirit,"['alfræðibók', 'alfræðiorðabók']"
