word,synonyms
مفاجأة,"['بَدِيهَة', 'اِبْتِدَاء', 'سُرْعَةالرَأي و الارْتِجَال']"
انقشاع,['تَفَرُّق']
ترك,"['سَيَّبَ', 'أَهْمَلَ']"
تناول,"['أَخَذْ', 'تَمَلُّك']"
ترف,"['تَنَعُّم', 'سِعَةالعَيشِ']"
ترنيمة,['أُنْشُودَة']
بهّات,['كَذّاب']
ليلة-ماضية-,['بَارِحَة']
رحرح-بالكلام-,['لَم يُصَرِّح بِهِ']
انزوى,"['تَقَلَّصَ', 'اِنْظَمَّ', 'تَجَمَّعَ']"
طلب الزيادة,"['اِسْتِزَادَة', 'طَلَب الزَادَ']"
أكابر,"['خَاصّةمن القَوم', 'أَعْيَان']"
أظهر(ه),"['خَفَىالشَيءَ', 'سَتَرَه', 'كَتَمَه']"
جواد,"['سَمْح', 'كَرِيم']"
جواب,['رَدّ']
دنّس,"['أَنْجَسَ', 'نَجَّسَ']"
بلج(الحق),"['وَضَحَ', 'ظَهَرَ']"
زمهرير,['شِدّةالبَرد']
تأبّد(المكان),"['أَقْفَرَ', 'خَلاَ']"
جوار,"['مُجَاوَرَة', 'أَمَان']"
جواز,"['حِلّ', 'إِبَاحَة']"
قذف,"['رَمَى', 'أَلْقَى']"
اهتضم(ه),"['ظَلَمَه', 'نَقَصَه حَقَّه']"
اعتناء,['اِهْتِمَام']
تهنيف,['إِسْرَاع']
عظيم,['جِلّ']
فراغ,['خُلُوّ']
نزاع,"['خُصُومَة', 'عَدَاوَة']"
خفّف(ه),['بَرَّدَالألَمُ']
إنزال,['تَنْزِيل']
إفطار,"['إِطْعَام', 'أَكْل', 'سَقْي']"
تمكّن,['قَدِرَ']
توقّف,"['تَمَكُّث', 'اِنْتِظَار', 'اِمْتِنَاع']"
وقف,"['رَسَى', 'ثَبَتَ']"
ألقى(ه)_في الأرض_,['بَذَرَالحَبَّ']
تبغيض,['تَمْقِيت']
هدّد,"['تَهَدَّدَ', 'خَوَّفَ']"
هدّأ,['سَكَّنَ']
بزل(الأمر),"['اِسْتَقَامَ', 'صَحَّ']"
إقعاس,['اِغْتِنَاء']
تكسير,"['تَقْطِيع', 'فَصْل']"
سعة-العيش-,"['رَخَاء', 'بَحْبُوحَة']"
انتشر,['ذَاعَ']
أخّر,"['أَرْجَأَ', 'أَجَّلَ']"
شجّع,['جَسَّرَ']
تكسيب,['تَرْبِيح']
إشادة,"['تَنْوِيه', 'تَعْظِيم']"
رسخ,"['اِنْغَرَزَ', 'ثَبُتَ']"
طّبع,"['جَبْل', 'خَلْق', 'خَلْط بِالمَاء']"
بشائر(الوجه),['مُحَسِّنَاته']
وقح,"['سَلِيط', 'بَذِيء', 'طَوِيلاللِسان']"
وقت,"['أَوْن', 'حِين', 'لُطْف']"
بربط,['عُودآلَة مُوسِيقِية']
أنصف,['أَعْدَل']
إفطام,['فَطْم']
وقع,['سَقَطَ']
هدّم,['خَرَّبَ']
تجاور,['تَآصُر']
تجاوز,"['قَطْع', 'تَخْلِيف']"
فائق-الجمال والعقل-,['بَرِيع']
