error,correction
"\bP(residen(?:cy|t(?:ial|sial)?))(?<=\s(?:a(?:cting|ppointed|s)|be(?:en|c(?:ame|om(?:e|ing)))?|Democratic|elected|for(?:mer)?|h(?:er|i[ms])|i(?:ncumbent|s|ts)|n(?:amed|ew)|Republican|s(?:erving|itting)|t(?:heir|o)|U\.?S\.?|was|\w+'s)\s+\w+)(?<![A-Z][a-z]+\s+for\s+\w+)(?=(?:[,\.;\)]|\s+[a-z]+))(?!\s+of\s)(?!\s+and\s+Vice[-–‑−—―\s]+President\s+of\s)",p\1
\bcase[–‑−—―\s]+by[–‑−—―\s]+case(?=\s+(?:basis\b|analysis\b)),case-by-case
\b([hH]igher|[lL]ower|[mM]iddle|[sS]econd|[tT]op|[uU]pper)\s+(level|tier)(?=\s+(?:c(?:irculation|lass(?:es)?)|c(?:lubs?|o(?:mpetition|nditions?|urses?))|directors?|e(?:ducation|nvironment)|f(?:loors?|ootball)|houses?|jet|l(?:eagues?|ows?)|manage(?:ment|rs?)|outflow|platforms?|r(?:idges?|ooms?)|s(?:chools?|eat(?:ing|s?)|hear)|s(?:ide|tudents?)|t(?:eams?|ours?|roughs?)|verandahs?|wind(?:ows?|s?))\b),\1-\2
\b([lL]ong|[mM]iddle|[sS]hort)\s+distance(?=\s+(?:a(?:ccess|ir|(?:pplications?|t(?:hletes?|tacks?)))|b(?:ackpacking|ird|us(?:es)?)|business(?:es)?|ca(?:ll(?:ing|s?)|r(?:ds?|riers?))|cha(?:mpionship|rges?)|c(?:ircuits?|o(?:ach(?:es)?|llaborations?))|comm(?:erc(?:e|ial)|u(?:nications?|ters?))|co(?:mp(?:an(?:ies|y)|etition)|nnections?)|c(?:ontacts?|r(?:oss|uising)|ustomers?)|cycl(?:es?|i(?:ng|st))|d(?:ata|estinations?|i(?:al|spersal))|d(?:ivision|riving|uathlon)|e(?:ffects?|lectric|ndurance|quipment)|e(?:vents?|x(?:changes?|press))|f(?:ib(?:er|re)|l(?:ights?|ying))|foot(?:paths?)?|f(?:ormations?|re(?:estyle|ight))|goals?|h(?:aulage|i(?:gh(?:ways?)?|jackings?))|h(?:ik(?:ers?|ing)|orse)|in(?:frastructure|ter(?:actions?|city))|journeys?|l(?:earning|ines?|oves?)|mar(?:athon|kets?)|m(?:erchant|igra(?:nts?|tions?)|otorcycles?)|mo(?:torcycling|untain|vements?)|n(?:avigation(?:al)?|etworks?|ight|umbers?)|o(?:cean|perat(?:ions?|ors?)|verland)|p(?:a(?:ssengers?|t(?:hs?|rols?))|hone|laces?|ower)|pr(?:efix(?:es)?|o(?:pagation|viders?))|public|rac(?:es?|ing)|ra(?:dio|il(?:ways?)?|tes?)|re(?:cords?|l(?:a(?:tionships?|y)|ocations?))|r(?:evenues?|id(?:er|ing)|oads?)|ro(?:mances?|utes?)|ru(?:n(?:(?:ners?)?|ning|s))|s(?:ailing|e(?:ed|rvices?)|hippers?)|sh(?:ipping|o(?:oting|rtwave|ts?))|s(?:ignaling|p(?:ace|eed)|tations?)|s(?:trike|urface|wimm(?:ers?|ing))|s(?:witch(?:es)?|ystems?)|tele(?:communications?|graphs?|phon(?:es?|y))|to(?:lls?|ur)|t(?:ouring|ra(?:cks?|de(?:rs?)?))|tra(?:ding|ffic|i(?:ls?|ning))|tra(?:ins?|ns(?:it|missions?|portation))|tra(?:nsports?|vel(?:ers?|ing|lers?))|tr(?:avel(?:ling|s?)|i(?:athlons?|ps?))|tru(?:[cn]ks?)|uses?|v(?:iews?|o(?:ice|yages?))|walk(?:ers?|ing|s?|way)|w(?:ireless|o(?:men|r(?:k|ld))))\b),\1-distance
"\bside[–‑−—―\s]by[-–‑−—―\s]+side(?=[;\.]|,?\s+(?:a(?:cross|gainst|long|nd|[st])|b(?:e(?:hind|tween)|y)|d(?:own|uring)|f(?:or|rom)|in(?:(?:stead)?|to)|just|o(?:n|ver)|t(?:h(?:e|rough(?:out)?)|o)|un(?:der|til)|w(?:h(?:en|ile)|ith(?:in)?))\b)",side by side
\b([lL]ong(?:er)?|[sS]hort)[-–‑−—―]?\s+term(?=\s+(?:a(?:ffairs?|greements?|ims?|lliances?)|a(?:mbitions?|ppointments?|s(?:pirations?|sociations?))|b(?:asis|oyfriends?|usiness)|care(?:ers?)?|c(?:harters?|o(?:llaborat(?:ions?|ors?)|mmitments?|ntracts?))|de(?:als?|clines?|velopments?)|e(?:conomic|ngagements?)|f(?:inancial|riends?|uture)|g(?:irlfriends?|oals?)|h(?:ealth|orizons?)|illness(?:es)?|i(?:mpacts?|n(?:flows?|jur(?:ies|y)))|investments?|knee|l(?:eases?|o(?:ans?|ve))|m(?:em(?:bers?|or(?:ies|y))|issions?)|objectives?|p(?:artner(?:s(?:hips?)?)?|er(?:iods?|spectives?))|p(?:lans?|r(?:esence|o(?:blems?|cess)))|pro(?:cesses|grams?|jects?)|re(?:cording|ductions?|lationships?|placements?|s(?:earch|idents?|toration))|s(?:olutions?|ponsors?|t(?:orage|rategic))|st(?:rateg(?:ies|y)|ud(?:ies|y))|su(?:ccess|pp(?:l(?:ies|y)|ort))|su(?:pporters?|stainable)|tre(?:atments?|nds?)|vi(?:ews?|sion))\b),\1-term
"\btime\s+consuming(?=(?:[,\.:;\)]|\s+(?:activit(?:ies|y)|a(?:nd|s(?:pects?)?)|b(?:ecause|ut)|compared|d(?:rive|ue)|effort|for|i(?:f|n(?:vestigations?)?)|jobs?|m(?:anual|ethods?)|nature|o(?:perations?|r)|p(?:art|r(?:actice|oce(?:dures?|ss)))|pro(?:cesses|jects?)|r(?:esearch|outes?)|s(?:earch|o|teps?)|t(?:asks?|echniques?|ha[nt]|o)|w(?:ays?|hen|ork))\b))",time-consuming
\bCorp\s+of\s+Engineers\b,Corps of Engineers
\b(\d+)(?<=\s\d+)[-—](\d+)(?=\s+(?:a(?:cademic|dvantage|gainst|t|way)|career|d(?:ef(?:eat|icit)|raw)|edge|final|game|home|in|l(?:ead|oss)|mark|o(?:n|ver(?:time)?)|r(?:ecord|out|un)|sc(?:hool\s+year|ore(?:line)?)|s(?:e(?:asons?|ries)|h(?:ootout|utout))|s(?:plit|tart|weep)|t(?:erm|ie|o|riumph)|upset|v(?:ictory|ote)|wi(?:n|th))\b)(?<!\b7\d7-\d+),\1–\2
"\b(\d+)(?<=\s\d+)[-—](\d+)(?=[,\.;\n\)])(?<!\b(?:Boeing|Columbia|Dash|LCCN|I(?:EC|NCITS|S[BS]N|SO(?:/IEC)?)|ANSI(?:/VITA)?|FIPS|N(?:ACA|[oO]\.?:?)|[nN]umber:?|#:?|P(?:art|ublication)|S(?:ection|/[nN]:?)|s/[nN]:?|VITA|Widow)\s+\d+[-—]\d+)(?<!\b(?:\d(?:[-—][02-9]\d|\d[-—][02-9]\d\d)|\1[-—]\1\b|7\d7-\d+))",\1–\2
